policyID,statecode,county,eq_site_limit,hu_site_limit,fl_site_limit,fr_site_limit,tiv_2011,tiv_2012,line,construction,point_granularity
415582,FL,SUWANNEE COUNTY,0,255878.61,0,0,255878.61,345894.66,Residential,Wood,3
783533,FL,SUWANNEE COUNTY,0,153527.17,0,0,153527.17,138228.8,Residential,Wood,4
640802,FL,SUWANNEE COUNTY,0,255878.61,0,0,255878.61,177339.74,Residential,Wood,1
403866,FL,SUWANNEE COUNTY,0,102351.45,0,0,102351.45,95132.8,Residential,Wood,3
828788,FL,SUWANNEE COUNTY,0,155489.66,0,0,155489.66,145139.65,Residential,Wood,1
751490,FL,SUWANNEE COUNTY,0,137233.8,0,0,137233.8,114919.58,Residential,Wood,4
972562,FL,SUWANNEE COUNTY,0,123596.05,0,0,123596.05,183015.09,Residential,Wood,4
367541,FL,SUWANNEE COUNTY,0,107111.11,0,0,107111.11,88218.85,Residential,Wood,4
481360,FL,SUWANNEE COUNTY,0,96309.32,0,0,96309.32,85911,Residential,Wood,3
920232,FL,NASSAU COUNTY,0,104031.7,0,0,104031.7,168443.97,Residential,Wood,1
727659,FL,NASSAU COUNTY,338944.5,338944.5,338944.5,338944.5,338944.5,485816.61,Residential,Wood,1
471817,FL,NASSAU COUNTY,272349,272349,272349,272349,272349,414565.56,Residential,Wood,1
983043,FL,NASSAU COUNTY,129690,129690,129690,129690,129690,129635.53,Residential,Wood,1
578286,FL,NASSAU COUNTY,123210,123210,123210,123210,123210,120345.61,Residential,Wood,1
347276,FL,NASSAU COUNTY,0,3698.64,0,0,3698.64,3939.13,Residential,Wood,3
477786,FL,NASSAU COUNTY,2115760.5,2115760.5,0,0,2115760.5,3057739.39,Commercial,Reinforced Masonry,4
265907,FL,NASSAU COUNTY,0,93548.58,0,0,93548.58,118401.07,Residential,Wood,3
107560,FL,NASSAU COUNTY,0,1037311.14,0,0,1037311.14,1487255.23,Residential,Masonry,3
908183,FL,NASSAU COUNTY,0,15463.3,0,0,15463.3,11825.56,Residential,Wood,3
356024,FL,NASSAU COUNTY,0,13893.35,0,0,13893.35,13988.5,Residential,Wood,3
575299,FL,NASSAU COUNTY,0,316618.23,0,0,316618.23,230328.99,Residential,Wood,1
790478,FL,NASSAU COUNTY,0,54834.66,0,0,54834.66,63053.72,Residential,Wood,3
801776,FL,NASSAU COUNTY,0,295269.11,0,0,295269.11,488965.65,Residential,Wood,1
291781,FL,NASSAU COUNTY,0,723734.17,0,0,723734.17,955908.09,Residential,Masonry,3
537286,FL,NASSAU COUNTY,0,1741572,0,1741572,1741572,1455184.42,Residential,Masonry,1
289305,FL,COLUMBIA COUNTY,135450,135450,135450,135450,135450,164978.1,Residential,Wood,4
697409,FL,COLUMBIA COUNTY,60300,60300,60300,60300,60300,77678.46,Residential,Wood,1
633944,FL,COLUMBIA COUNTY,22500,22500,22500,22500,22500,19501.76,Residential,Wood,4
963511,FL,COLUMBIA COUNTY,0,34212.42,0,0,34212.42,33250.37,Residential,Wood,4
729649,FL,COLUMBIA COUNTY,0,460128.2,0,0,460128.2,626142.46,Residential,Masonry,1
862584,FL,COLUMBIA COUNTY,0,32169.69,0,0,32169.69,37291.11,Residential,Wood,4
371891,FL,COLUMBIA COUNTY,0,50550.75,0,0,50550.75,49526.38,Residential,Wood,4
785595,FL,COLUMBIA COUNTY,42300,42300,42300,42300,42300,53762.62,Residential,Wood,3
567696,FL,COLUMBIA COUNTY,0,10171.26,0,0,10171.26,16798.29,Residential,Wood,4
219025,FL,COLUMBIA COUNTY,0,155342.88,0,0,155342.88,176189.89,Residential,Wood,4
447216,FL,COLUMBIA COUNTY,0,3698.64,0,0,3698.64,4424.48,Residential,Wood,4
305141,FL,COLUMBIA COUNTY,0,4623.3,0,4623.3,4623.3,4525.86,Residential,Wood,4
625575,FL,COLUMBIA COUNTY,0,33287.76,0,0,33287.76,27375.62,Residential,Wood,4
262109,FL,COLUMBIA COUNTY,0,21267.18,0,0,21267.18,24840.49,Residential,Wood,1
228457,FL,COLUMBIA COUNTY,0,729556.74,0,0,729556.74,889825.76,Residential,Masonry,1
622799,FL,COLUMBIA COUNTY,0,350446.14,0,0,350446.14,438049.26,Residential,Wood,1
233271,FL,COLUMBIA COUNTY,0,2135964.6,0,2135964.6,2135964.6,1728721.59,Commercial,Reinforced Masonry,1
932950,FL,COLUMBIA COUNTY,0,4623.3,0,4623.3,4623.3,4782.1,Residential,Wood,1
641952,FL,COLUMBIA COUNTY,0,2469639.6,0,2469639.6,2469639.6,2708463.63,Commercial,Reinforced Masonry,4
796260,FL,COLUMBIA COUNTY,0,914073.3,0,914073.3,914073.3,1296439.3,Residential,Masonry,4
301822,FL,COLUMBIA COUNTY,0,3042940.5,0,3042940.5,3042940.5,3181868.99,Commercial,Reinforced Masonry,4
559927,FL,COLUMBIA COUNTY,0,234997.65,0,0,234997.65,255975.89,Residential,Wood,4
224400,FL,COLUMBIA COUNTY,0,912600,0,912600,912600,1147247.71,Residential,Masonry,4
123936,FL,COLUMBIA COUNTY,0,1920744.9,0,1920744.9,1920744.9,2837762.3,Commercial,Reinforced Masonry,4
333818,FL,COLUMBIA COUNTY,0,455754.6,0,455754.6,455754.6,696809.59,Residential,Masonry,4
254323,FL,COLUMBIA COUNTY,0,1552693.95,0,0,1552693.95,1552594.58,Residential,Masonry,4
247444,FL,COLUMBIA COUNTY,0,8910,0,8910,8910,13521.83,Residential,Wood,4
882598,FL,COLUMBIA COUNTY,0,398968.2,0,398968.2,398968.2,424087.24,Residential,Masonry,4
386918,FL,COLUMBIA COUNTY,0,4500,0,4500,4500,4238.41,Residential,Wood,4
497337,FL,COLUMBIA COUNTY,0,31071.6,0,31071.6,31071.6,57802.5,Residential,Wood,4
526844,FL,COLUMBIA COUNTY,0,4956125.85,0,0,4956125.85,7279557.65,Commercial,Reinforced Masonry,4
623400,FL,COLUMBIA COUNTY,0,40500,0,40500,40500,34160.94,Residential,Wood,4
826170,FL,COLUMBIA COUNTY,0,135868.99,0,0,135868.99,234280.26,Residential,Wood,1
185483,FL,COLUMBIA COUNTY,0,36784.23,0,0,36784.23,58447.64,Residential,Wood,1
920003,FL,COLUMBIA COUNTY,0,1086940.9,0,0,1086940.9,1770235.43,Residential,Masonry,1
274246,FL,COLUMBIA COUNTY,0,16767.17,0,0,16767.17,17228.6,Residential,Wood,1
423636,FL,COLUMBIA COUNTY,0,1404900,0,1404900,1404900,1840643.78,Residential,Masonry,1
970906,FL,COLUMBIA COUNTY,0,4696520.5,0,0,4696520.5,6342697.9,Commercial,Reinforced Masonry,3
227898,FL,COLUMBIA COUNTY,0,67892.48,0,0,67892.48,86628.09,Residential,Wood,1
525138,FL,COLUMBIA COUNTY,0,86056.32,0,0,86056.32,125938.17,Residential,Wood,1
923627,FL,COLUMBIA COUNTY,0,67892.48,0,0,67892.48,64169.8,Residential,Wood,1
619743,FL,COLUMBIA COUNTY,0,67892.48,0,0,67892.48,80898.23,Residential,Wood,1
910727,FL,COLUMBIA COUNTY,0,86056.32,0,0,86056.32,91244.65,Residential,Wood,1
363647,FL,COLUMBIA COUNTY,0,67892.48,0,0,67892.48,92333.77,Residential,Wood,1
512519,FL,COLUMBIA COUNTY,0,101009.36,0,0,101009.36,98181.1,Residential,Wood,1
904304,FL,COLUMBIA COUNTY,0,67892.48,0,0,67892.48,66272.56,Residential,Wood,1
835349,FL,COLUMBIA COUNTY,0,67892.48,0,0,67892.48,99945.87,Residential,Wood,1
891725,FL,COLUMBIA COUNTY,0,86056.32,0,0,86056.32,139415.11,Residential,Wood,1
923503,FL,COLUMBIA COUNTY,0,86056.32,0,0,86056.32,106664.4,Residential,Wood,1
292347,FL,COLUMBIA COUNTY,0,132603.34,0,0,132603.34,115117.07,Residential,Wood,3
363828,FL,COLUMBIA COUNTY,0,132603.34,0,0,132603.34,216561.94,Residential,Wood,3
110490,FL,COLUMBIA COUNTY,0,91764.15,0,0,91764.15,70364.02,Residential,Wood,3
480733,FL,COLUMBIA COUNTY,0,457854.5,0,0,457854.5,345588.57,Residential,Masonry,4
993346,FL,COLUMBIA COUNTY,0,385480.82,0,0,385480.82,558330.42,Residential,Masonry,4
934992,FL,ST  JOHNS COUNTY,0,213596.46,0,0,213596.46,190329.82,Residential,Wood,4
645841,FL,ST  JOHNS COUNTY,0,1051338.42,0,0,1051338.42,1069841.98,Residential,Masonry,4
747846,FL,ST  JOHNS COUNTY,0,6472.62,0,0,6472.62,9957.87,Residential,Wood,4
482457,FL,ST  JOHNS COUNTY,0,159041.52,0,0,159041.52,249984.64,Residential,Wood,1
574787,FL,ST  JOHNS COUNTY,0,12945.24,0,0,12945.24,19024.97,Residential,Wood,1
831418,FL,ST  JOHNS COUNTY,0,29589.12,0,0,29589.12,35207.53,Residential,Wood,1
968562,FL,ST  JOHNS COUNTY,0,12945.24,0,0,12945.24,16859.05,Residential,Wood,1
576324,FL,ST  JOHNS COUNTY,29061,29061,29061,29061,29061,40749.33,Residential,Wood,1
290435,FL,ST  JOHNS COUNTY,48087,48087,48087,48087,48087,68008.1,Residential,Wood,1
526086,FL,ST  JOHNS COUNTY,128628,128628,128628,128628,128628,133425.18,Residential,Wood,1
119823,FL,ST  JOHNS COUNTY,128628,128628,128628,128628,128628,168246.71,Residential,Wood,1
497414,FL,ST  JOHNS COUNTY,128628,128628,128628,128628,128628,176279.14,Residential,Wood,1
340883,FL,ST  JOHNS COUNTY,4968,4968,4968,4968,4968,5265.92,Residential,Wood,1
892551,FL,ST  JOHNS COUNTY,157005,157005,157005,157005,157005,131774.3,Residential,Wood,1
670595,FL,ST  JOHNS COUNTY,459,459,459,459,459,847.36,Residential,Wood,1
194101,FL,ST  JOHNS COUNTY,459,459,459,459,459,428.69,Residential,Wood,1
167200,FL,ST  JOHNS COUNTY,1062,1062,1062,1062,1062,1602.72,Residential,Wood,1
139064,FL,ST  JOHNS COUNTY,2304,2304,2304,2304,2304,2474.16,Residential,Wood,1
846636,FL,ST  JOHNS COUNTY,1476,1476,1476,1476,1476,1935.04,Residential,Wood,1
310177,FL,NASSAU COUNTY,185040,185040,185040,185040,185040,313975.87,Residential,Wood,1
865452,FL,NASSAU COUNTY,0,11095.92,0,0,11095.92,11961.62,Residential,Wood,3
783429,FL,NASSAU COUNTY,0,8321.94,0,0,8321.94,9646.79,Residential,Wood,3
878060,FL,NASSAU COUNTY,0,199726.56,0,0,199726.56,277743.75,Residential,Wood,1
935342,FL,NASSAU COUNTY,0,118356.48,0,0,118356.48,182860.76,Residential,Wood,1
456376,FL,NASSAU COUNTY,0,17568.54,0,0,17568.54,29936.79,Residential,Wood,1
363001,FL,NASSAU COUNTY,0,147945.6,0,147945.6,147945.6,238338.59,Residential,Wood,1
478864,FL,NASSAU COUNTY,0,724933.44,0,0,724933.44,767347.85,Residential,Masonry,1
600402,FL,NASSAU COUNTY,0,8284485.6,0,0,8284485.6,8073943.68,Commercial,Reinforced Masonry,1
483983,FL,NASSAU COUNTY,438498,438498,0,0,438498,636264.11,Residential,Masonry,1
991615,FL,NASSAU COUNTY,0,99960.9,0,0,99960.9,88679.21,Residential,Wood,4
644573,FL,NASSAU COUNTY,0,669692.78,0,0,669692.78,841130.78,Residential,Masonry,1
853278,FL,NASSAU COUNTY,0,240539.39,0,0,240539.39,412765.59,Residential,Wood,1
100658,FL,NASSAU COUNTY,0,331518.28,0,0,331518.28,464703.76,Residential,Wood,4
433115,FL,NASSAU COUNTY,0,5919.86,0,0,5919.86,9839.94,Residential,Wood,1
760337,FL,NASSAU COUNTY,0,77426.73,0,0,77426.73,73196.13,Residential,Wood,1
884738,FL,NASSAU COUNTY,0,765763.8,0,0,765763.8,735948.78,Residential,Masonry,1
610102,FL,NASSAU COUNTY,0,7532014.45,0,0,7532014.45,10710000,Commercial,Reinforced Masonry,1
830823,FL,NASSAU COUNTY,0,963962.79,0,0,963962.79,977226.92,Residential,Masonry,3
618364,FL,NASSAU COUNTY,0,121066.57,0,0,121066.57,115414.7,Residential,Wood,1
712563,FL,NASSAU COUNTY,0,70964.84,0,0,70964.84,72362.85,Residential,Wood,1
493030,FL,NASSAU COUNTY,0,755749,0,0,755749,658571.77,Residential,Masonry,1
188150,FL,NASSAU COUNTY,0,2162232,0,2162232,2162232,2520816.55,Commercial,Reinforced Masonry,1
589642,FL,NASSAU COUNTY,0,615141.68,0,0,615141.68,895926.17,Residential,Masonry,1
846109,FL,NASSAU COUNTY,0,135000,0,135000,135000,138827.52,Residential,Wood,3
399079,FL,NASSAU COUNTY,0,161748,0,161748,161748,235301.93,Residential,Wood,1
680135,FL,NASSAU COUNTY,0,164484,0,164484,164484,194814.85,Residential,Wood,1
621379,FL,NASSAU COUNTY,0,170532,0,170532,170532,178465.15,Residential,Wood,1
606710,FL,NASSAU COUNTY,0,181980,0,181980,181980,181216.05,Residential,Wood,1
443319,FL,NASSAU COUNTY,0,181980,0,181980,181980,151151.13,Residential,Wood,1
228591,FL,NASSAU COUNTY,0,186012,0,186012,186012,176389.97,Residential,Wood,1
721610,FL,NASSAU COUNTY,0,192348,0,192348,192348,210005.55,Residential,Wood,1
507395,FL,NASSAU COUNTY,0,197604,0,197604,197604,203450.71,Residential,Wood,1
213399,FL,NASSAU COUNTY,0,198468,0,198468,198468,202538.58,Residential,Wood,1
579400,FL,NASSAU COUNTY,0,198612,0,198612,198612,226675.88,Residential,Wood,1
509951,FL,NASSAU COUNTY,0,200052,0,200052,200052,335395.98,Residential,Wood,1
930798,FL,NASSAU COUNTY,0,201276,0,201276,201276,216909.11,Residential,Wood,1
729247,FL,NASSAU COUNTY,0,207324,0,207324,207324,252344.61,Residential,Wood,1
288344,FL,NASSAU COUNTY,0,208836,0,208836,208836,310058.81,Residential,Wood,1
275351,FL,NASSAU COUNTY,0,212436,0,212436,212436,225030.91,Residential,Wood,1
976690,FL,NASSAU COUNTY,0,218052,0,218052,218052,332681.94,Residential,Wood,1
507111,FL,NASSAU COUNTY,0,218412,0,218412,218412,222125,Residential,Wood,1
547458,FL,NASSAU COUNTY,0,221076,0,221076,221076,277280.37,Residential,Wood,1
827732,FL,NASSAU COUNTY,0,226764,0,226764,226764,303833.37,Residential,Wood,1
229489,FL,NASSAU COUNTY,0,237132,0,237132,237132,282225.02,Residential,Wood,1
175251,FL,NASSAU COUNTY,0,239652,0,239652,239652,178583.88,Residential,Wood,1
590043,FL,NASSAU COUNTY,0,245052,0,245052,245052,241166.46,Residential,Wood,1
476037,FL,NASSAU COUNTY,0,245052,0,245052,245052,306551.23,Residential,Wood,1
674960,FL,NASSAU COUNTY,0,257868,0,257868,257868,338372.33,Residential,Wood,1
743790,FL,NASSAU COUNTY,0,6381518.4,0,6381518.4,6381518.4,8757880.98,Commercial,Reinforced Masonry,3
817283,FL,NASSAU COUNTY,0,15390000,0,15390000,15390000,11790000,Commercial,Reinforced Concrete,1
201980,FL,NASSAU COUNTY,235696.5,235696.5,235696.5,235696.5,235696.5,353171.41,Residential,Wood,1
351505,FL,NASSAU COUNTY,18000,18000,18000,18000,18000,16830,Residential,Wood,1
798806,FL,NASSAU COUNTY,1772074.8,1772074.8,1772074.8,1772074.8,1772074.8,1768133.71,Residential,Masonry,1
153643,FL,NASSAU COUNTY,95922,95922,95922,95922,95922,150073.42,Residential,Wood,1
683653,FL,NASSAU COUNTY,20763,20763,20763,20763,20763,20966.31,Residential,Wood,1
475264,FL,NASSAU COUNTY,0,16560000,0,0,16560000,20610000,Commercial,Reinforced Concrete,1
912944,FL,NASSAU COUNTY,0,582759.1,0,0,582759.1,1020490.44,Residential,Masonry,4
945134,FL,NASSAU COUNTY,0,2244.53,0,0,2244.53,2937.46,Residential,Wood,4
219959,FL,NASSAU COUNTY,0,196396.18,0,0,196396.18,190425.74,Residential,Wood,4
793504,FL,NASSAU COUNTY,0,21500.33,0,0,21500.33,19687.96,Residential,Wood,3
450423,FL,NASSAU COUNTY,0,74091.86,0,0,74091.86,110035.31,Residential,Wood,1
505178,FL,NASSAU COUNTY,0,86863.23,0,0,86863.23,123807.2,Residential,Wood,1
408688,FL,NASSAU COUNTY,0,796134.02,0,0,796134.02,838972.4,Residential,Masonry,1
477759,FL,NASSAU COUNTY,0,298522.2,0,0,298522.2,227585.86,Residential,Wood,1
882441,FL,NASSAU COUNTY,0,23118.64,0,0,23118.64,23505.92,Residential,Wood,1
727602,FL,NASSAU COUNTY,0,63407.91,0,0,63407.91,78862,Residential,Wood,1
313226,FL,NASSAU COUNTY,0,285728.39,0,0,285728.39,288837.12,Residential,Wood,1
337027,FL,NASSAU COUNTY,0,9016.27,0,0,9016.27,9045.12,Residential,Wood,4
649251,FL,NASSAU COUNTY,0,80915.23,0,0,80915.23,98214.9,Residential,Wood,3
142564,FL,NASSAU COUNTY,0,28898.3,0,0,28898.3,36004.04,Residential,Wood,1
197782,FL,NASSAU COUNTY,0,1505741.49,0,0,1505741.49,2197471.6,Residential,Masonry,1
709787,FL,NASSAU COUNTY,0,53078.59,0,0,53078.59,62305.99,Residential,Wood,1
655065,FL,NASSAU COUNTY,0,162952.72,0,0,162952.72,185883.43,Residential,Wood,3
176778,FL,NASSAU COUNTY,0,2261249.55,0,0,2261249.55,1825782.64,Commercial,Reinforced Masonry,1
559179,FL,NASSAU COUNTY,0,1363101.75,0,0,1363101.75,1619364.87,Residential,Masonry,1
698071,FL,NASSAU COUNTY,0,295716.54,0,0,295716.54,247758.41,Residential,Wood,3
642950,FL,NASSAU COUNTY,0,392231.24,0,0,392231.24,344336.66,Residential,Masonry,4
477240,FL,NASSAU COUNTY,0,192917.17,0,0,192917.17,238214.12,Residential,Wood,1
672348,FL,NASSAU COUNTY,0,168339.59,0,0,168339.59,269983.03,Residential,Wood,1
922844,FL,NASSAU COUNTY,0,316029.52,0,0,316029.52,337216.14,Residential,Wood,1
948580,FL,NASSAU COUNTY,0,151505.63,0,0,151505.63,185310.32,Residential,Wood,3
364552,FL,NASSAU COUNTY,0,280565.98,0,0,280565.98,329505.66,Residential,Wood,1
561601,FL,NASSAU COUNTY,0,460128.2,0,0,460128.2,792672.06,Residential,Masonry,1
584749,FL,NASSAU COUNTY,0,324000,0,324000,324000,506745.07,Residential,Wood,1
601327,FL,COLUMBIA COUNTY,212850,212850,212850,212850,212850,340143.88,Residential,Wood,1
302578,FL,COLUMBIA COUNTY,135000,135000,135000,135000,135000,150719.13,Residential,Wood,1
756585,FL,COLUMBIA COUNTY,94284,94284,94284,94284,94284,100714.17,Residential,Wood,1
627591,FL,COLUMBIA COUNTY,6300,6300,6300,6300,6300,9566.42,Residential,Wood,1
663563,FL,COLUMBIA COUNTY,1248407.1,1248407.1,0,0,1248407.1,1417531.31,Residential,Masonry,3
108959,FL,COLUMBIA COUNTY,0,114170.34,0,0,114170.34,136068.22,Residential,Wood,3
951069,FL,COLUMBIA COUNTY,0,498344.66,0,0,498344.66,434656.21,Residential,Masonry,1
490641,FL,BAKER COUNTY,0,910.22,0,0,910.22,1346.55,Residential,Wood,3
443968,FL,BAKER COUNTY,0,3195.34,0,0,3195.34,4551.39,Residential,Wood,3
433688,FL,CLAY COUNTY,0,172157.99,0,0,172157.99,171582.99,Residential,Wood,1
168578,FL,CLAY COUNTY,945000,945000,945000,945000,945000,750524.67,Residential,Masonry,1
294375,FL,CLAY COUNTY,76500,76500,76500,76500,76500,121368.78,Residential,Wood,1
902110,FL,CLAY COUNTY,76500,76500,76500,76500,76500,94517.28,Residential,Wood,1
279816,FL,CLAY COUNTY,431726.4,431726.4,0,0,431726.4,640896.11,Residential,Masonry,1
994565,FL,CLAY COUNTY,0,11767.98,0,0,11767.98,14137.95,Residential,Wood,4
930535,FL,CLAY COUNTY,0,15981.99,0,0,15981.99,25400.89,Residential,Wood,4
844642,FL,CLAY COUNTY,0,35302.09,0,0,35302.09,47059.67,Residential,Wood,4
292887,FL,CLAY COUNTY,0,26396.15,0,0,26396.15,28938.78,Residential,Wood,4
655128,FL,CLAY COUNTY,0,7536.5,0,0,7536.5,10216,Residential,Wood,4
164038,FL,CLAY COUNTY,0,13198.07,0,0,13198.07,16695.56,Residential,Wood,4
163057,FL,CLAY COUNTY,0,29410.75,0,0,29410.75,25890.52,Residential,Wood,4
327730,FL,CLAY COUNTY,0,13198.07,0,0,13198.07,11239.53,Residential,Wood,4
218187,FL,CLAY COUNTY,0,25780.36,0,0,25780.36,35155,Residential,Wood,4
697530,FL,CLAY COUNTY,0,9806.65,0,0,9806.65,16990.72,Residential,Wood,4
619053,FL,CLAY COUNTY,0,15992.1,0,0,15992.1,23431.62,Residential,Wood,4
431406,FL,CLAY COUNTY,0,9806.65,0,0,9806.65,7026.15,Residential,Wood,3
256801,FL,CLAY COUNTY,0,13198.07,0,0,13198.07,22117.33,Residential,Wood,4
571398,FL,CLAY COUNTY,0,304842.43,0,0,304842.43,250185.41,Residential,Wood,3
239669,FL,CLAY COUNTY,0,13198.07,0,0,13198.07,13200.19,Residential,Wood,3
530369,FL,CLAY COUNTY,0,48252.01,0,0,48252.01,36139.79,Residential,Wood,4
948187,FL,CLAY COUNTY,0,9806.65,0,0,9806.65,13926.22,Residential,Wood,3
571059,FL,CLAY COUNTY,0,9190.86,0,0,9190.86,14678.43,Residential,Wood,4
470539,FL,CLAY COUNTY,0,68931.45,0,0,68931.45,85159.98,Residential,Wood,3
791046,FL,CLAY COUNTY,0,68931.45,0,0,68931.45,99578.92,Residential,Wood,3
563971,FL,CLAY COUNTY,0,27572.58,0,0,27572.58,30033.98,Residential,Wood,3
823903,FL,CLAY COUNTY,0,13786.29,0,0,13786.29,22316.42,Residential,Wood,3
812504,FL,CLAY COUNTY,0,9190.86,0,0,9190.86,10540.08,Residential,Wood,4
597719,FL,CLAY COUNTY,0,102937.63,0,0,102937.63,94857.02,Residential,Wood,1
716513,FL,CLAY COUNTY,0,19605.94,0,0,19605.94,18479.62,Residential,Wood,3
378286,FL,CLAY COUNTY,0,13198.07,0,0,13198.07,16161.17,Residential,Wood,4
698982,FL,CLAY COUNTY,0,9806.65,0,0,9806.65,12391.68,Residential,Wood,4
624550,FL,CLAY COUNTY,0,9806.65,0,0,9806.65,13533.17,Residential,Wood,4
666076,FL,CLAY COUNTY,0,11764.3,0,0,11764.3,11058.82,Residential,Wood,4
474145,FL,CLAY COUNTY,0,7619.22,0,0,7619.22,6304.92,Residential,Wood,4
572929,FL,CLAY COUNTY,0,13198.07,0,0,13198.07,18039.84,Residential,Wood,4
640205,FL,CLAY COUNTY,0,6433.6,0,0,6433.6,8588.09,Residential,Wood,3
295930,FL,CLAY COUNTY,0,6617.42,0,0,6617.42,5824.75,Residential,Wood,3
823004,FL,CLAY COUNTY,0,9806.65,0,0,9806.65,9970.77,Residential,Wood,4
